Country,ninetythree,ninetyfour,ninetyfive,ninetysix,ninetyseven,ninetyeight,ninetynine,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone
Oman,0,0,8145,13296,3941,1013,0,782,7138,6060,12736,3570,8781,12826,11538,6765,11046,4357,15205,3460,951,0,0,10986,5097,828,667,302,3056
Pakistan,0,0,0,29,0,0,0,0,0,0,0,0,0,600,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,200,223,135,522,101,430,884,508,0,0,0,0,347,348,0,0,0,0,80,0,0,219,440,835,1661,1322,443
Papua New Guinea,0,0,1669,3350,1375,425,4755,651,683,1305,649,0,0,0,43,0,0,0,0,0,0,0,0,0,681,0,0,0,0
Peru,3297,1462,8530,12256,11596,16060,11117,3190,6675,8454,5730,6672,12924,13737,12427,12172,10203,12750,13603,12934,14056,12176,10161,8736,17177,13756,8178,4331,3715
Philippines,0,0,0,0,0,0,65,0,0,0,0,0,60,0,211,0,0,14,0,0,0,0,30,473,196,154,0,0,0
Poland,0,0,0,0,0,50,0,0,16,0,208,31,102,981,418,32,55,189,134,845,1954,260,270,92,115,315,483,574,573
Portugal,0,0,4704,3993,4237,5330,5290,4023,3823,3758,5526,6100,3430,8545,9220,2989,3097,6267,6198,5415,5897,5849,8498,9365,9615,10313,9983,9697,10708
Puerto Rico,0,0,5567,7445,6021,5615,4578,5385,1427,57,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,197,0,0,0,1402,1431,3519,3162,4894,5392,1024,2003,1594,660,581,49,3556,291,2158,2001,2509,3437,2936,3995,2275,5899,6400,6079,7929
Romania,0,0,0,1652,2944,893,1907,0,762,5464,2157,245,1539,1040,239,49,0,130,83,140,224,0,15,0,182,30,0,254,272
Russia,0,0,9071,9251,4725,8683,32611,26382,32783,76690,92711,109151,149681,134646,151074,170264,205525,223370,227774,174612,168024,120345,135247,161286,142011,137010,189786,197720,245194
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,65,41,0,22,59,0,0,323,0,0,0,84,0,0
Servia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
